A2M	12	9222346	
A2M	12	9222387	
A2M	12	9222365	
A2M	12	9232315	
A2M	12	9230420	
A2M	12	9230409	
ABL1	9	133738360	
ABL1	9	133748276	
ABL1	9	133748268	
ABL1	9	133748267	
ABL1	9	133748274	
ABL1	9	133750428	
ABL1	9	133753821	
ABL1	9	133753820	
ABL1	9	133753888	
ABL1	9	133750392	
ABL1	9	133753877	
ABL1	9	133738297	
ABL1	9	133747600	
ABL1	9	133748310	
ABL1	9	133747523	
ABL1	9	133747588	
ABL1	9	133750263	
ABL1	9	133750256	
ABL1	9	133750310	
ABL1	9	133738348	
ABL1	9	133755477	
ANK1	8	41552776	
ANK1	8	41552758	
ANK1	8	41552258	
ANK1	8	41552766	
ANK1	8	41553899	
ANK1	8	41553894	
ANK1	8	41553902	
ANK1	8	41553999	
ANK1	8	41552747	
METTL14	4	119625154	
METTL14	4	119626811	
METTL14	4	119626826	
METTL14	4	119631275	
METTL14	4	119626803	
METTL14	4	119626803	
METTL14	4	119626806	
METTL14	4	119631282	
METTL3	14	21967676	
METTL3	14	21967257	
METTL3	14	21967254	
METTL3	14	21967260	
METTL3	14	21967277	
METTL14	4	119626844	
METTL3	14	21967728	
METTL3	14	21967647	
METTL3	14	21967720	
METTL14	4	119626850	
METTL3	14	21967512	
METTL3	14	21967496	
METTL3	14	21967685	
METTL1	12	58163605	
METTL1	12	58163602	
METTL1	12	58163625	
METTL21A	2	208477805	
METTL21A	2	208477849	
METTL21A	2	208477909	
METTL21A	2	208477992	
METTL21A	2	208478098	
METTL21A	2	208478081	
METTL21B	12	58166903	
METTL21B	12	58174040	
METTL21B	12	58174104	
METTL21B	12	58174199	
METTL21B	12	58174205	
ANK1	8	41554073	
ANK1	8	41554074	
ANK1	8	41552702	
ANK1	8	41554025	
ANK1	8	41554022	
ANK1	8	41554019	
ANK1	8	41554068	
ANK1	8	41552701	
ANK1	8	41552695	
METTL21C	13	103343179	
METTL21C	13	103343240	
METTL21C	13	103343201	
METTL21C	13	103343200	
METTL21C	13	103343183	
METTL21C	13	103338734	
METTL21C	13	103338486	
METTL21C	13	103338581	
METTL21C	13	103338571	
METTL21C	13	103338746	
METTL21C	13	103343261	
METTL21C	13	103343267	
METTL21C	13	103339331	
METTL21C	13	103338667	
METTL21C	13	103338598	
METTL21C	13	103339401	
METTL21C	13	103338651	
METTL21C	13	103339349	
METTL21C	13	103338687	
METTL3	14	21967206	
METTL3	14	21967206	
METTL3	14	21968764	
MFAP1	15	44102108	
PRPF38A	1	52878204	
PRPF38A	1	52878201	
MGAM	7	141726932	
MGAM	7	141719060	
MGAM	7	141719039	
MGAM	7	141708458	
MGAM	7	141719032	
MGAM	7	141708471	
MGAM	7	141708455	
MGAM	7	141708490	
MGAM	7	141708495	
MGAM	7	141708491	
MGAM	7	141719014	
MGAM	7	141719069	
MGAM	7	141721452	
MGAM	7	141720863	
MGAM	7	141721461	
MGAM	7	141721462	
MGAM	7	141735999	
MGAM	7	141735987	
MGAM	7	141735988	
